Index,nevent,transmitterID,ntransmission,size,size_diff,sex,rms_diff,sharkID,depth_diff,ntrangroup
1,1,11,5,284,-36,0,-18.99708131,GS22,-30.65125598,2
2,2,11,4,284,-36,0,28.38995151,GS22,-46.10928432,2
3,3,11,1,284,-36,0,-39.10231903,GS22,-73.07849731,1
4,4,16,1,325,5,0,-26.87251742,GS22,-53.5893513,1
5,5,16,1,325,5,0,-29.22015732,GS22,-34.04892723,1
6,6,16,1,325,5,0,-16.6369153,GS22,-35.59277843,1
7,7,17,4,284,-36,0,29.03395423,GS22,198.506066,2
8,8,17,1,284,-36,0,106.1375541,GS22,-57.44352039,1
9,9,1,1,292,-28,1,10.77054855,GS22,19.97781544,1
10,10,1,4,292,-28,1,20.73588972,GS22,-45.82338703,2
11,11,1,1,292,-28,1,-35.44317315,GS22,-20.9297234,1
12,12,1,2,292,-28,1,-26.44085107,GS22,45.50690738,1
13,13,1,1,292,-28,1,12.4460041,GS22,157.4256986,1
14,14,1,1,292,-28,1,-25.31071182,GS22,-67.83365579,1
15,15,20,6,259,-61,1,154.8495937,GS22,68.63871009,2
16,16,20,2,259,-61,1,45.92882327,GS22,1.931694176,1
17,17,20,1,259,-61,1,48.86441887,GS22,13.95207878,1
18,18,20,3,259,-61,1,-33.28923685,GS22,-64.27250955,1
19,19,20,1,259,-61,1,-37.06448661,GS22,-52.01402093,1
20,20,21,2,286,-34,0,141.3470019,GS22,119.3186841,1
21,21,21,1,286,-34,0,190.2507365,GS22,10.35373907,1
22,22,21,4,286,-34,0,78.26194964,GS22,4.637419308,2
23,23,21,1,286,-34,0,64.2929566,GS22,5.672112847,1
24,24,9,2,313,-7,0,-34.70309174,GS22,-33.71975036,1
25,25,9,1,313,-7,0,-42.68911369,GS22,90.57646538,1
26,26,9,2,313,-7,0,-26.86130048,GS22,199.9479657,1
27,27,9,1,313,-7,0,65.15171635,GS22,281.9803491,1
28,1,27,1,270,5,0,-38.62182361,GS28,-62.457722,1
29,2,27,2,270,5,0,55.39528467,GS28,165.9521834,1
30,3,27,1,270,5,0,33.41779558,GS28,50.33312346,1
