Date and Time (UTC),Receiver,Transmitter,TransmitterID,SharkNumber,DetectedAnimal
2017-08-10 00:22:10,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 00:25:35,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 00:28:22,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 00:31:50,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 00:34:41,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 00:38:18,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 00:41:28,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 00:43:42,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 00:46:06,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 00:48:48,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 00:52:08,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 00:55:20,VMT-1115775,A69-9001-15311,15311,GS22-T2017,GS20-T2017
2017-08-10 00:57:45,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 00:58:55,VMT-1115775,A69-9001-15311,15311,GS22-T2017,GS20-T2017
2017-08-10 01:01:45,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 01:02:01,VMT-1115775,A69-9001-15311,15311,GS22-T2017,GS20-T2017
2017-08-10 01:05:41,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 01:06:06,VMT-1115775,A69-9001-15311,15311,GS22-T2017,GS20-T2017
2017-08-10 01:09:28,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 01:10:10,VMT-1115775,A69-9001-15311,15311,GS22-T2017,GS20-T2017
2017-08-10 01:12:55,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 01:14:14,VMT-1115775,A69-9001-15311,15311,GS22-T2017,GS20-T2017
2017-08-10 01:15:46,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 01:18:18,VMT-1115775,A69-9001-15311,15311,GS22-T2017,GS20-T2017
2017-08-10 01:19:22,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 01:22:21,VMT-1115775,A69-9001-15311,15311,GS22-T2017,GS20-T2017
2017-08-10 01:26:23,VMT-1115775,A69-9001-15311,15311,GS22-T2017,GS20-T2017
2017-08-10 01:29:01,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 01:30:22,VMT-1115775,A69-9001-15311,15311,GS22-T2017,GS20-T2017
2017-08-10 01:31:25,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 01:34:16,VMT-1115775,A69-9001-15311,15311,GS22-T2017,GS20-T2017
2017-08-10 01:37:29,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 01:37:56,VMT-1115775,A69-9001-15311,15311,GS22-T2017,GS20-T2017
2017-08-10 01:41:13,VMT-1115775,A69-9001-15311,15311,GS22-T2017,GS20-T2017
2017-08-10 01:43:41,VMT-1115775,A69-9001-15311,15311,GS22-T2017,GS20-T2017
2017-08-10 01:45:19,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 01:47:29,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 01:49:45,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 01:52:10,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 01:57:50,VMT-1115775,A69-9001-15311,15311,GS22-T2017,GS20-T2017
2017-08-10 01:58:23,VMT-1115775,A69-9001-15307,15307,GS22-T2017,GS21-T2017
2017-08-10 02:00:24,VMT-1115775,A69-9001-15311,15311,GS22-T2017,GS20-T2017
2017-08-10 02:21:50,VMT-1115775,A69-9001-15311,15311,GS22-T2017,GS20-T2017
2017-08-10 02:45:58,VMT-1115775,A69-9001-15316,15316,GS22-T2017,GS18-T2017
2017-08-10 04:20:48,VMT-1115775,A69-9001-15306,15306,GS22-T2017,GS16-T2017
2017-08-10 13:59:43,VMT-1115775,A69-9001-15305,15305,GS22-T2017,GS9-T2017
2017-08-10 14:03:46,VMT-1115775,A69-9001-15305,15305,GS22-T2017,GS9-T2017
2017-08-10 14:22:39,VMT-1115775,A69-9001-15305,15305,GS22-T2017,GS9-T2017
2017-08-10 22:57:31,VMT-1115775,A69-9001-15295,15295,GS22-T2017,GS1-T2017
2017-08-11 00:33:09,VMT-1115775,A69-9001-15302,15302,GS22-T2017,GS14-T2017
2017-08-11 05:16:45,VMT-1115775,A69-9001-15305,15305,GS22-T2017,GS9-T2017
